"America_1961_JFK" "America_1963_MLK" "America_1964_Reagan" "America_1968_MLK" "England_1940_Churchill" "England_1940_Churchill_1" "England_1946_Churchill" "Japan_1941_Hirohito" "Japan_1945_Hirohito" "Russia_1991_Yeltsin" "Russia_1992_Yeltsin" "Singapore_1977_LKY" "Singapore_1987_LKY" "Singapore_1994_LKY" "Yugoslavia_1988_Milosevic" "Yugoslavia_1989_Milosevic"
"people" 0.148257968865827 0.112994350282486 0.404513519267618 0.198631648642684 0.0942803268384664 0 0.164642930644165 0 0.152905198776758 0.717703349282297 0.224592925322852 0.321543408360129 0.09000900090009 0.840336134453782 1.53468385512584 1.41381185426862
"was" 0.0741289844329133 0 0.340642963593783 0.485544030015449 0.59710873664362 0.14265335235378 0.185223296974686 0.189035916824197 0 0.239234449760766 0.112296462661426 0.214362272240086 1.44014401440144 0.140056022408964 0.429711479435236 0.543773790103317
"if" 0.148257968865827 0 0.29806259314456 0.595894945928051 0.282840980515399 0.285306704707561 0.411607326610414 0.189035916824197 0 0 0 0.7502679528403 0.36003600360036 0.840336134453782 0.184162062615101 0.380641653072322
"now" 0.148257968865827 0.451977401129944 0.489674260166063 0.640035312293092 0.251414204902577 0.14265335235378 0.349866227618852 0 0.152905198776758 0 0.168444693992139 0 0 0.280112044817927 0.184162062615101 0.435019032082654
"would" 0.148257968865827 0 0.29806259314456 0.706245861840653 0.43997485857951 0.14265335235378 0.30870549495781 0.189035916824197 0.305810397553517 0 0.0561482313307131 0.214362272240086 0.9000900090009 0.560224089635854 0.122774708410068 0
"he" 0 0 0.979348520332127 0.55175457956301 0.157133878064111 0 0.0205803663305207 0 0 0.239234449760766 0 0.857449088960343 0.9000900090009 0.280112044817927 0.0613873542050338 0
"world" 0.593031875463306 0 0.14903129657228 0.242772015007725 0.0628535512256442 0 0.637991356246141 0.189035916824197 0.611620795107034 0.717703349282297 0.954519932622122 0 0 0.140056022408964 0.429711479435236 0.380641653072322
"an" 0.148257968865827 0.112994350282486 0.319352778369172 0.220701831825204 0.345694531741043 0.285306704707561 0.30870549495781 0.189035916824197 0.305810397553517 1.43540669856459 0.505334081976418 0.535905680600214 0.72007200720072 0.280112044817927 0.122774708410068 0.32626427406199
"from" 0.518902891030393 1.35593220338983 0.276772407919949 0.286912381372765 0.345694531741043 0 0.432187692940934 0.378071833648393 0.305810397553517 0.239234449760766 0 0.321543408360129 0.18001800180018 0.280112044817927 0 0.271886895051659
"us" 0.889547813194959 0.112994350282486 0.468384074941452 0.375193114102847 0.282840980515399 0.570613409415121 0.226384029635728 0.378071833648393 0 0.478468899521531 0.168444693992139 0.428724544480171 0 0.140056022408964 0.122774708410068 0.108754758020663
"had" 0 0.112994350282486 0.234192037470726 0.662105495475612 0.628535512256442 0 0.0823214653220827 0 0 0 0 0.214362272240086 1.17011701170117 0.700280112044818 0.0613873542050338 0.108754758020663
"its" 0.44477390659748 0.338983050847458 0.170321481796892 0.110350915912602 0.219987429289755 0.427960057061341 0.30870549495781 0.56710775047259 0.458715596330275 0 0.505334081976418 0.107181136120043 0.09000900090009 0.140056022408964 0.675260896255371 0.65252854812398
"can" 0.667160859896219 0 0.553544815839898 0.264842198190245 0.0942803268384664 0.427960057061341 0.226384029635728 0 0 0 0.112296462661426 0.321543408360129 0.09000900090009 0.560224089635854 0.245549416820135 0.380641653072322
"what" 0.370644922164566 0.112994350282486 0.234192037470726 0.55175457956301 0.157133878064111 0.285306704707561 0.411607326610414 0 0.152905198776758 0 0.0561482313307131 0.535905680600214 0.09000900090009 0.280112044817927 0.122774708410068 0.217509516041327
"so" 0.148257968865827 0.112994350282486 0.447093889716841 0.242772015007725 0.377121307353866 0 0.30870549495781 0.189035916824197 0.152905198776758 0.239234449760766 0 0.321543408360129 0.36003600360036 0.700280112044818 0.122774708410068 0.163132137030995
"his" 0.22238695329874 0.225988700564972 0.510964445390675 0.242772015007725 0.471401634192332 0.285306704707561 0.0823214653220827 0 0 0.239234449760766 0 0.857449088960343 0.9000900090009 0 0 0.0543773790103317
"one" 0.22238695329874 1.35593220338983 0.361933148818395 0.154491282277643 0.251414204902577 0.427960057061341 0.30870549495781 0 0.152905198776758 0 0.0561482313307131 0.321543408360129 0.09000900090009 0.420168067226891 0.0613873542050338 0.32626427406199
"t" 0 0 0.596125186289121 1.10350915912602 0 0 0 0 0 0 0 0 0 0 0.0613873542050338 0
"who" 0.44477390659748 0.112994350282486 0.532254630615286 0.242772015007725 0.282840980515399 0.427960057061341 0.0205803663305207 0 0.764525993883792 0.239234449760766 0.0561482313307131 0.321543408360129 0.27002700270027 0.560224089635854 0.306936771025169 0.0543773790103317
"them" 0.370644922164566 0 0.276772407919949 0.375193114102847 0.345694531741043 0 0.185223296974686 0 0 0.239234449760766 0.112296462661426 0.321543408360129 0.18001800180018 0.280112044817927 0.245549416820135 0.271886895051659
"time" 0.148257968865827 0.338983050847458 0.191611667021503 0.0882807327300817 0.188560653676933 0.14265335235378 0.349866227618852 0 0.152905198776758 0 0.393037619314992 0.535905680600214 0.18001800180018 0 0.49109883364027 0.380641653072322
"do" 0.593031875463306 0 0.340642963593783 0.264842198190245 0.188560653676933 0.14265335235378 0.226384029635728 0.189035916824197 0.152905198776758 0 0.0561482313307131 0.535905680600214 0.09000900090009 0.420168067226891 0.122774708410068 0.108754758020663
"no" 0 0 0.319352778369172 0.0882807327300817 0.157133878064111 0.570613409415121 0.391026960279893 0.189035916824197 0 0 0.224592925322852 0 0.09000900090009 0.420168067226891 0.368324125230203 0.32626427406199
"when" 0.0741289844329133 0.451977401129944 0.361933148818395 0.331052747737806 0.188560653676933 0.14265335235378 0.185223296974686 0 0 0 0.0561482313307131 0.428724544480171 0 0.420168067226891 0.122774708410068 0.217509516041327
"were" 0 0 0.170321481796892 0.419333480467888 0.502828409805154 0.14265335235378 0.102901831652603 0 0 0 0.112296462661426 0.321543408360129 0.18001800180018 0.280112044817927 0.245549416820135 0.217509516041327
"war" 0.296515937731653 0 0.234192037470726 0.0220701831825204 0.251414204902577 0.570613409415121 0.535089524593538 0.378071833648393 0.611620795107034 0.239234449760766 0.0561482313307131 0 0 0 0.122774708410068 0.0543773790103317
"government" 0 0 0.87289759420907 0 0.157133878064111 0.427960057061341 0.0823214653220827 0.378071833648393 0.152905198776758 0 0 0.643086816720257 0 0.140056022408964 0 0
"other" 0.296515937731653 0 0.127741111347669 0.176561465460163 0.0942803268384664 0.427960057061341 0.246964395966248 0.56710775047259 0.152905198776758 0 0.112296462661426 0.107181136120043 0.18001800180018 0.140056022408964 0.49109883364027 0.435019032082654
"should" 0 0 0.255482222695337 0.0220701831825204 0.188560653676933 0.570613409415121 0.329285861288331 0 0.152905198776758 0 0.112296462661426 0.107181136120043 0.18001800180018 0.280112044817927 0.736648250460405 0.163132137030995
"only" 0.22238695329874 0.112994350282486 0.212901852246115 0.110350915912602 0.188560653676933 0 0.246964395966248 0.189035916824197 0.152905198776758 0 0.224592925322852 0.214362272240086 0.09000900090009 0 0.429711479435236 0.380641653072322
"let" 1.18606375092661 1.12994350282486 0.0425803704492229 0.264842198190245 0 0.285306704707561 0.164642930644165 0 0.152905198776758 0 0 0.214362272240086 0 0.280112044817927 0.0613873542050338 0.108754758020663
"upon" 0 0 0.0212901852246115 0.0662105495475612 0.754242614707731 0.14265335235378 0.349866227618852 0.756143667296786 0.458715596330275 0 0.168444693992139 0.107181136120043 0 0 0 0.0543773790103317
"these" 0.0741289844329133 0.112994350282486 0.106450926123057 0.220701831825204 0.345694531741043 0 0.30870549495781 0.378071833648393 0 0.478468899521531 0.168444693992139 0.214362272240086 0 0.280112044817927 0.122774708410068 0.0543773790103317
"more" 0.296515937731653 0 0.14903129657228 0.154491282277643 0.251414204902577 0 0.123482197983124 0.189035916824197 0 0 0.112296462661426 0.321543408360129 0.09000900090009 0 0.49109883364027 0.489396411092985
"out" 0.148257968865827 0.338983050847458 0.234192037470726 0.375193114102847 0.188560653676933 0 0.0205803663305207 0 0.305810397553517 0 0.112296462661426 0.428724544480171 0 0.420168067226891 0.184162062615101 0.108754758020663
"up" 0.0741289844329133 0.338983050847458 0.191611667021503 0.419333480467888 0.0628535512256442 0.14265335235378 0.164642930644165 0.189035916824197 0 0 0.0561482313307131 0.214362272240086 0.18001800180018 0.280112044817927 0.122774708410068 0.108754758020663
"my" 0.22238695329874 0.112994350282486 0.106450926123057 0.264842198190245 0.0942803268384664 0.713266761768902 0.267544762296769 0 0 0 0.0561482313307131 0 0.54005400540054 0.560224089635854 0 0
"great" 0.0741289844329133 0.225988700564972 0.0851607408984458 0.176561465460163 0.251414204902577 0 0.185223296974686 0.378071833648393 0.305810397553517 0 0.112296462661426 0.107181136120043 0 0 0.552486187845304 0.163132137030995
"here" 0.148257968865827 0.112994350282486 0.0638705556738344 0.308982564555286 0.0628535512256442 0.14265335235378 0.246964395966248 0 0 0 0 0.428724544480171 0 0 0.429711479435236 0.271886895051659
"about" 0 0 0.0638705556738344 0.573824762745531 0.125707102451288 0 0.102901831652603 0 0 0 0.0561482313307131 0.107181136120043 0.27002700270027 0.280112044817927 0 0.271886895051659
"any" 0.593031875463306 0 0.14903129657228 0.176561465460163 0.157133878064111 0.427960057061341 0.226384029635728 0 0.305810397553517 0 0.0561482313307131 0 0.09000900090009 0.140056022408964 0.122774708410068 0.0543773790103317
"freedom" 0.296515937731653 1.46892655367232 0.212901852246115 0.110350915912602 0 0 0.144062564313645 0 0 0 0.112296462661426 0 0 0 0.429711479435236 0.0543773790103317
"united" 0.148257968865827 0 0.0425803704492229 0.0441403663650408 0.0314267756128221 0.14265335235378 0.452768059271455 0.56710775047259 0.152905198776758 0 0.505334081976418 0 0 0 0.184162062615101 0.163132137030995
"must" 0.0741289844329133 0.451977401129944 0.170321481796892 0.132421099095122 0.188560653676933 0.14265335235378 0.28812512862729 0 0 0 0.112296462661426 0 0 0.280112044817927 0.184162062615101 0.0543773790103317
"than" 0.0741289844329133 0 0.234192037470726 0.198631648642684 0.219987429289755 0 0.123482197983124 0.189035916824197 0 0 0 0.214362272240086 0.18001800180018 0.280112044817927 0 0.32626427406199
"because" 0.22238695329874 0 0.234192037470726 0.220701831825204 0.0314267756128221 0 0.102901831652603 0 0 0 0 0.214362272240086 0.09000900090009 0.280112044817927 0.49109883364027 0.163132137030995
"many" 0.0741289844329133 0.112994350282486 0.0851607408984458 0.0220701831825204 0.534255185417976 0.570613409415121 0.185223296974686 0.189035916824197 0.152905198776758 0 0.0561482313307131 0 0 0 0.245549416820135 0.108754758020663
"me" 0 0 0.106450926123057 0.441403663650408 0.0314267756128221 0 0.102901831652603 0 0 0 0.0561482313307131 0.214362272240086 0.81008100810081 0.420168067226891 0 0
"man" 0.296515937731653 0 0.361933148818395 0.353122930920327 0.0314267756128221 0 0.061741098991562 0 0 0 0 0.321543408360129 0.09000900090009 0 0 0
"nations" 0.370644922164566 0 0.127741111347669 0.0441403663650408 0 0 0.246964395966248 0.378071833648393 0.458715596330275 0 0.673778775968557 0 0 0 0 0.163132137030995
"say" 0 0.112994350282486 0.127741111347669 0.353122930920327 0.125707102451288 0.427960057061341 0.061741098991562 0 0 0 0.0561482313307131 0.107181136120043 0 0.560224089635854 0.0613873542050338 0.271886895051659
"those" 0.518902891030393 0 0.255482222695337 0.0882807327300817 0.0942803268384664 0.285306704707561 0.0823214653220827 0 0.611620795107034 0 0.0561482313307131 0 0 0.140056022408964 0.306936771025169 0.0543773790103317
"new" 0.518902891030393 0.338983050847458 0.0425803704492229 0.242772015007725 0.0628535512256442 0.285306704707561 0.061741098991562 0 0.152905198776758 0 0.393037619314992 0.321543408360129 0 0 0.0613873542050338 0.0543773790103317
"british" 0 0 0 0 0.628535512256442 0.285306704707561 0.329285861288331 0.378071833648393 0 0 0 0.214362272240086 0 0 0 0
"country" 0.296515937731653 0 0.106450926123057 0.0441403663650408 0.125707102451288 0 0.123482197983124 0 0 0.956937799043062 0.168444693992139 0 0 0 0.675260896255371 0.163132137030995
"shall" 0.370644922164566 0.338983050847458 0 0.0220701831825204 0.43997485857951 0 0.185223296974686 0.56710775047259 0 0 0 0 0 0 0.429711479435236 0
"years" 0 0.564971751412429 0.212901852246115 0.132421099095122 0.0628535512256442 0 0.185223296974686 0.378071833648393 0.152905198776758 0 0 0.321543408360129 0 0.280112044817927 0 0.108754758020663
"may" 0.22238695329874 0 0 0.0441403663650408 0.282840980515399 0.427960057061341 0.329285861288331 0 0.458715596330275 0 0.0561482313307131 0.107181136120043 0 0 0 0.163132137030995
"states" 0.148257968865827 0 0.0425803704492229 0.0662105495475612 0.0314267756128221 0 0.370446593949372 0.189035916824197 0.152905198776758 0 0.72992700729927 0 0 0 0 0
"today" 0.22238695329874 0.790960451977401 0.0638705556738344 0.0441403663650408 0.0628535512256442 0.427960057061341 0.0205803663305207 0 0.152905198776758 0.239234449760766 0.168444693992139 0 0 0.140056022408964 0.306936771025169 0.489396411092985
"every" 0.148257968865827 0.790960451977401 0.14903129657228 0.0882807327300817 0.219987429289755 0 0.0411607326610414 0.378071833648393 0 0 0.168444693992139 0.214362272240086 0 0.280112044817927 0.122774708410068 0
"know" 0.22238695329874 0 0.191611667021503 0.331052747737806 0.0628535512256442 0 0.0411607326610414 0 0 0 0 0.428724544480171 0.18001800180018 0.140056022408964 0.122774708410068 0
"men" 0.0741289844329133 0.338983050847458 0.0638705556738344 0.198631648642684 0.345694531741043 0.14265335235378 0.102901831652603 0.189035916824197 0.152905198776758 0 0 0.107181136120043 0 0.420168067226891 0 0
"well" 0.22238695329874 0 0.276772407919949 0.0441403663650408 0.157133878064111 0 0.164642930644165 0 0.458715596330275 0 0.0561482313307131 0.107181136120043 0 0 0.0613873542050338 0.108754758020663
"long" 0.148257968865827 0.112994350282486 0.14903129657228 0.0882807327300817 0.157133878064111 0.285306704707561 0.0411607326610414 0.189035916824197 0.152905198776758 0 0.0561482313307131 0.107181136120043 0.09000900090009 0 0.368324125230203 0.217509516041327
"own" 0.22238695329874 0.112994350282486 0.191611667021503 0.0220701831825204 0.0942803268384664 0 0.185223296974686 0 0 0 0.112296462661426 0 0 0 0.245549416820135 0.32626427406199
"make" 0.0741289844329133 0.112994350282486 0.106450926123057 0.0882807327300817 0.0628535512256442 0.14265335235378 0.144062564313645 0 0 0 0.280741156653565 0.107181136120043 0.18001800180018 0.280112044817927 0.122774708410068 0.217509516041327
"over" 0 0 0.170321481796892 0.220701831825204 0.0628535512256442 0 0.185223296974686 0 0 0 0 0.428724544480171 0.27002700270027 0 0 0.0543773790103317
"re" 0 0.112994350282486 0.638705556738344 0.0882807327300817 0.0314267756128221 0 0 0.189035916824197 0 0 0 0 0 0 0 0
"said" 0 0 0.319352778369172 0.264842198190245 0.0628535512256442 0.14265335235378 0 0 0 0 0 0.107181136120043 0.45004500450045 0.140056022408964 0 0
"ve" 0 0 0.404513519267618 0.397263297285367 0 0 0 0 0 0 0 0 0 0 0 0
"against" 0.148257968865827 0 0.191611667021503 0 0.251414204902577 0.14265335235378 0.0823214653220827 0 0.152905198776758 0 0.0561482313307131 0.107181136120043 0.18001800180018 0.140056022408964 0.245549416820135 0.108754758020663
"day" 0 1.01694915254237 0.106450926123057 0.198631648642684 0.0942803268384664 0.14265335235378 0.102901831652603 0 0.152905198776758 0 0 0 0 0.140056022408964 0.0613873542050338 0.0543773790103317
"just" 0.0741289844329133 0 0.191611667021503 0.286912381372765 0 0 0.061741098991562 0 0 0 0.168444693992139 0.107181136120043 0 0.280112044817927 0.122774708410068 0.108754758020663
"power" 0.370644922164566 0 0.127741111347669 0.0662105495475612 0.188560653676933 0 0.226384029635728 0 0.152905198776758 0.717703349282297 0 0.107181136120043 0 0 0 0
"come" 0.0741289844329133 0.225988700564972 0.0425803704492229 0.176561465460163 0.157133878064111 0.14265335235378 0.164642930644165 0 0.152905198776758 0 0.168444693992139 0.107181136120043 0.18001800180018 0.140056022408964 0 0
"even" 0.0741289844329133 0.225988700564972 0 0.132421099095122 0.125707102451288 0 0.144062564313645 0 0 0 0.168444693992139 0.107181136120043 0.09000900090009 0 0.245549416820135 0.32626427406199
"peace" 0.296515937731653 0 0.319352778369172 0.0220701831825204 0 0 0.144062564313645 0.756143667296786 0.152905198776758 0 0.0561482313307131 0 0 0 0.0613873542050338 0.0543773790103317
"see" 0 0.112994350282486 0.0851607408984458 0.375193114102847 0.0628535512256442 0 0.185223296974686 0 0 0 0.0561482313307131 0 0 0.140056022408964 0 0
"serbia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.920810313075506 1.08754758020663
"before" 0.148257968865827 0.112994350282486 0.212901852246115 0.154491282277643 0.0314267756128221 0.285306704707561 0.0823214653220827 0 0.305810397553517 0 0 0 0.27002700270027 0 0.0613873542050338 0.0543773790103317
"through" 0 0 0.14903129657228 0.198631648642684 0.0314267756128221 0 0.144062564313645 0 0 0 0 0.214362272240086 0 0.140056022408964 0.245549416820135 0.163132137030995
"kosovo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.04358502148557 0.815660685154976
"last" 0.0741289844329133 0.338983050847458 0.234192037470726 0 0.125707102451288 0.14265335235378 0.061741098991562 0 0 0 0.112296462661426 0 0.18001800180018 0 0.245549416820135 0.0543773790103317
"never" 0.22238695329874 0 0.170321481796892 0.0662105495475612 0.188560653676933 0.14265335235378 0.061741098991562 0 0 0 0.0561482313307131 0 0 0.140056022408964 0.0613873542050338 0.271886895051659
"go" 0.22238695329874 0.338983050847458 0.0212901852246115 0.375193114102847 0.0628535512256442 0.14265335235378 0.0411607326610414 0 0 0 0 0 0.18001800180018 0 0 0
"nation" 0.148257968865827 0.451977401129944 0.0638705556738344 0.132421099095122 0.0628535512256442 0.285306704707561 0.0823214653220827 0.378071833648393 0.458715596330275 0 0 0 0 0 0 0.163132137030995
"very" 0.0741289844329133 0 0.0851607408984458 0.0441403663650408 0.314267756128221 0 0.123482197983124 0.189035916824197 0 0 0 0.107181136120043 0.18001800180018 0.280112044817927 0.122774708410068 0
